name,audience_size,topic,path,emoji_code,emoji_extra
4x4s,53333030,Business and industry,Hobbies and activities|Vehicles|4x4s,1f699,
Advertising,222340510,Business and industry,Business and industry|Advertising,1f4e3,
Agriculture,253803750,Business and industry,Business and industry|Agriculture,1f69c,
Architecture,370053960,Business and industry,Business and industry|Architecture,1f3db,
Aviation,134028940,Business and industry,Business and industry|Aviation,2708,
Banking,237533070,Business and industry,Business and industry|Banking,1f3e6,
Business,638130940,Business and industry,Business and industry|Business,1f4bc,
Camcorders,21667910,Business and industry,Technology|Consumer electronics|Camcorders,1f4f9,
Cash,57838220,Business and industry,,1f4b0,
Cloud computing,235572120,Business and industry,,2601,
Computer memory,10690620,Business and industry,Technology|Computers|Computer memory,1f5a5,1f4be
Computer monitors,52876010,Business and industry,Technology|Computers|Computer monitors,1f4bb,
Construction,189714560,Business and industry,Business and industry|Construction,1f3d7,
Credit cards,230320440,Business and industry,Business and industry|Personal finance|Credit cards,1f4b3,
Design,785249430,Business and industry,Business and industry|Design,1f4d0,
Digital marketing,32351302,Business and industry,Business and industry|Online|Digital marketing,1f4f2,
Display advertising,8876492,Business and industry,Business and industry|Online|Display advertising,1f5bc,
Economics,218522700,Business and industry,Business and industry|Economics,1f4b1,
Education,780857920,Business and industry,Business and industry|Education,1f3eb,
Email marketing,13040472,Business and industry,Business and industry|Online|Email marketing,1f4e8,
Engineering,144826030,Business and industry,Business and industry|Engineering,2699,
Entrepreneurship,124054790,Business and industry,Business and industry|Entrepreneurship,1f4b8,
Fine print,1793510,Business and industry,,002a-20e3,
Graphic design,113582040,Business and industry,Business and industry|Design|Graphic design,270d-1f3ff,
Gyms,193817060,Business and industry,Fitness and wellness|Gyms,1f3cb-1f3fe,
Helicopters,24427650,Business and industry,Hobbies and activities|Vehicles|Helicopters,1f681,
Higher education,460739210,Business and industry,Business and industry|Higher education,1f393,
Insurance,145065460,Business and industry,Business and industry|Personal finance|Insurance,1f915,
Interior design,213785990,Business and industry,Business and industry|Design|Interior design,1f6cb,
Investment,140683700,Business and industry,Business and industry|Personal finance|Investment,1f4c8,
Investment banking,25762979,Business and industry,Business and industry|Banking|Investment banking,1f4b8,
Law,269139430,Business and industry,Hobbies and activities|Politics and social issues|Law,2696,
Management,171527020,Business and industry,Business and industry|Management,1f454,
Marketing,488935380,Business and industry,Business and industry|Marketing,1f4cb,
MATLAB,2625560,Business and industry,Business and industry|Software,1f4ca,
